epoch|loss|AP_0|AP_1|AP_2|AP_3|AP_4|softAP_0|softAP_1|softAP_2|softAP_3|softAP_4|Acc_0|Acc_1|Acc_2|Acc_3|Acc_4|Prec_0|Prec_1|Prec_2|Prec_3|Prec_4|Rec_0|Rec_1|Rec_2|Rec_3|Rec_4|F1_0|F1_1|F1_2|F1_3|F1_4
1|0.00753|0.0|0.0|0.05|0.064|0.044|0.542|0.221|0.145|0.072|0.055|0.076|0.95|0.996|0.995|0.996|0.015|0.008|0.0|0.0|0.0|0.968|0.28|0.005|0.006|0.007|0.03|0.016|0.0|0.0|0.0
2|0.00751|0.0|0.0|0.004|0.064|0.043|0.461|0.264|0.141|0.066|0.049|0.082|0.941|0.991|1.0|1.0|0.016|0.008|0.0|0.0|0.0|0.975|0.356|0.0|0.0|0.0|0.031|0.016|0|0|0
3|0.0075|0.0|0.0|0.001|0.06|0.004|0.51|0.239|0.141|0.066|0.049|0.08|0.946|0.99|1.0|0.998|0.016|0.008|0.0|0.0|0.0|0.978|0.333|0.0|0.0|0.0|0.031|0.016|0|0|0
4|0.00749|0.0|0.0|0.026|0.056|0.007|0.463|0.265|0.141|0.066|0.049|0.077|0.942|0.996|1.0|0.998|0.015|0.009|0.0|0.0|0.0|0.976|0.382|0.0|0.0|0.0|0.03|0.018|0|0|0
5|0.00748|0.0|0.0|0.031|0.054|0.021|0.484|0.24|0.141|0.066|0.049|0.069|0.947|0.998|1.0|0.999|0.015|0.01|0.0|0.0|0.0|0.978|0.377|0.0|0.0|0.0|0.03|0.019|0|0|0
6|0.00747|0.0|0.0|0.072|0.06|0.026|0.455|0.24|0.141|0.066|0.049|0.063|0.951|0.999|1.0|0.999|0.015|0.012|0.0|0.0|0.0|0.978|0.408|0.0|0.0|0.0|0.03|0.023|0|0|0
7|0.00745|0.0|0.0|0.079|0.058|0.039|0.51|0.245|0.141|0.068|0.049|0.056|0.959|0.999|1.0|1.0|0.015|0.013|0.0|0.002|0.0|0.981|0.398|0.0|0.001|0.0|0.03|0.025|0|0.001|0
8|0.00744|0.0|0.0|0.098|0.051|0.034|0.506|0.237|0.141|0.066|0.049|0.051|0.963|1.0|1.0|1.0|0.015|0.017|0.0|0.0|0.0|0.981|0.446|0.0|0.0|0.0|0.03|0.033|0|0|0
9|0.00742|0.0|0.0|0.105|0.049|0.049|0.507|0.25|0.141|0.066|0.049|0.047|0.967|1.0|1.0|1.0|0.015|0.02|0.0|0.0|0.0|0.982|0.474|0.0|0.0|0.0|0.03|0.038|0|0|0
10|0.0074|0.0|0.0|0.12|0.055|0.048|0.54|0.249|0.141|0.068|0.049|0.042|0.973|1.0|1.0|1.0|0.015|0.025|0.0|0.004|0.0|0.985|0.501|0.0|0.001|0.0|0.03|0.048|0|0.002|0
